OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
R5XV2EPZQZ,0.4954,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
Z2E3P23VKM,1.0749,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
38NPMPTW36,0.432,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-03-31,NVMe SSD,470
4NA7Y494T4,1.26,f1.2xlarge,FPGA Instances,1,No Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-03-31,NVMe SSD,470
7NE97W5U4E,1.4442,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
BPH4J8HBKS,0.9388,f1.2xlarge,FPGA Instances,3,No Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-04-30,NVMe SSD,470
CUZHX8X6JH,0.685,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
HU7G6KETJZ,0.597,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-03-31,NVMe SSD,470
R5XV2EPZQZ,0.4953,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-04-30,NVMe SSD,470
Z2E3P23VKM,1.0747,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-04-30,NVMe SSD,470
38NPMPTW36,1.052,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
4NA7Y494T4,2.829,f1.4xlarge,FPGA Instances,1,No Upfront,standard,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,3.233,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,2.122,f1.4xlarge,FPGA Instances,3,No Upfront,standard,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.608,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.415,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,EU,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
