OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
38NPMPTW36,0.635,g4dn.4xlarge,GPU instance,3,Partial Upfront,standard,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
4NA7Y494T4,1.578,g4dn.4xlarge,GPU instance,1,No Upfront,standard,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
7NE97W5U4E,1.704,g4dn.4xlarge,GPU instance,1,No Upfront,convertible,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
BPH4J8HBKS,1.313,g4dn.4xlarge,GPU instance,3,No Upfront,standard,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
CUZHX8X6JH,0.829,g4dn.4xlarge,GPU instance,1,Partial Upfront,convertible,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
HU7G6KETJZ,0.769,g4dn.4xlarge,GPU instance,1,Partial Upfront,standard,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
R5XV2EPZQZ,0.689,g4dn.4xlarge,GPU instance,3,Partial Upfront,convertible,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
Z2E3P23VKM,1.429,g4dn.4xlarge,GPU instance,3,No Upfront,convertible,Canada,16,64,Shared,Windows,2019,25.0,2019-10-01,NVMe SSD,225
38NPMPTW36,0.148,g4dn.xlarge,GPU instance,3,Partial Upfront,standard,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
4NA7Y494T4,0.449,g4dn.xlarge,GPU instance,1,No Upfront,standard,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
7NE97W5U4E,0.516,g4dn.xlarge,GPU instance,1,No Upfront,convertible,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
BPH4J8HBKS,0.32,g4dn.xlarge,GPU instance,3,No Upfront,standard,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
CUZHX8X6JH,0.246,g4dn.xlarge,GPU instance,1,Partial Upfront,convertible,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
HU7G6KETJZ,0.214,g4dn.xlarge,GPU instance,1,Partial Upfront,standard,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
R5XV2EPZQZ,0.178,g4dn.xlarge,GPU instance,3,Partial Upfront,convertible,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
Z2E3P23VKM,0.383,g4dn.xlarge,GPU instance,3,No Upfront,convertible,EU,4,16,Shared,Linux,2022,25.0,2022-03-01,NVMe SSD,125
38NPMPTW36,1.818,g4dn.16xlarge,GPU instance,3,Partial Upfront,standard,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
4NA7Y494T4,5.21,g4dn.16xlarge,GPU instance,1,No Upfront,standard,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
7NE97W5U4E,5.964,g4dn.16xlarge,GPU instance,1,No Upfront,convertible,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
BPH4J8HBKS,3.913,g4dn.16xlarge,GPU instance,3,No Upfront,standard,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
CUZHX8X6JH,2.844,g4dn.16xlarge,GPU instance,1,Partial Upfront,convertible,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
HU7G6KETJZ,2.485,g4dn.16xlarge,GPU instance,1,Partial Upfront,standard,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
R5XV2EPZQZ,2.165,g4dn.16xlarge,GPU instance,3,Partial Upfront,convertible,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
Z2E3P23VKM,4.664,g4dn.16xlarge,GPU instance,3,No Upfront,convertible,SouthAmerica,64,26,Shared,RHEL_HA,2021,50.0,2021-07-01,NVMe SSD,900
38NPMPTW36,1.1614,g5.12xlarge,GPU instance,3,Partial Upfront,standard,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
4NA7Y494T4,3.63336,g5.12xlarge,GPU instance,1,No Upfront,standard,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
7NE97W5U4E,4.5267,g5.12xlarge,GPU instance,1,No Upfront,convertible,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
BPH4J8HBKS,2.5043,g5.12xlarge,GPU instance,3,No Upfront,standard,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
CUZHX8X6JH,2.157,g5.12xlarge,GPU instance,1,Partial Upfront,convertible,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
HU7G6KETJZ,1.7316,g5.12xlarge,GPU instance,1,Partial Upfront,standard,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
R5XV2EPZQZ,1.445,g5.12xlarge,GPU instance,3,Partial Upfront,convertible,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
Z2E3P23VKM,3.11688,g5.12xlarge,GPU instance,3,No Upfront,convertible,US,48,192,Shared,Linux,2022,40.0,2022-04-01,NVMe SSD,3800
38NPMPTW36,9.14049,g5.48xlarge,GPU instance,3,Partial Upfront,standard,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
4NA7Y494T4,23.71415,g5.48xlarge,GPU instance,1,No Upfront,standard,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
7NE97W5U4E,27.43469,g5.48xlarge,GPU instance,1,No Upfront,convertible,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
BPH4J8HBKS,19.0369,g5.48xlarge,GPU instance,3,No Upfront,standard,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
CUZHX8X6JH,13.27442,g5.48xlarge,GPU instance,1,Partial Upfront,convertible,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
HU7G6KETJZ,11.50274,g5.48xlarge,GPU instance,1,Partial Upfront,standard,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
R5XV2EPZQZ,10.32161,g5.48xlarge,GPU instance,3,Partial Upfront,convertible,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
Z2E3P23VKM,21.58813,g5.48xlarge,GPU instance,3,No Upfront,convertible,AsiaPacific,192,768,Shared,Windows,2022,100.0,2022-06-01,NVMe SSD,7600
38NPMPTW36,0.254,g4dn.2xlarge,GPU instance,3,Partial Upfront,standard,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
4NA7Y494T4,0.718,g4dn.2xlarge,GPU instance,1,No Upfront,standard,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
7NE97W5U4E,0.808,g4dn.2xlarge,GPU instance,1,No Upfront,convertible,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
BPH4J8HBKS,0.539,g4dn.2xlarge,GPU instance,3,No Upfront,standard,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
CUZHX8X6JH,0.387,g4dn.2xlarge,GPU instance,1,Partial Upfront,convertible,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
HU7G6KETJZ,0.345,g4dn.2xlarge,GPU instance,1,Partial Upfront,standard,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
R5XV2EPZQZ,0.293,g4dn.2xlarge,GPU instance,3,Partial Upfront,convertible,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
Z2E3P23VKM,0.624,g4dn.2xlarge,GPU instance,3,No Upfront,convertible,EU,8,32,Dedicated,Linux,2019,25.0,2019-09-01,NVMe SSD,225
38NPMPTW36,0.24962,g4ad.4xlarge,GPU instance,3,Partial Upfront,standard,US,16,64,Dedicated,Linux,2020,10.0,2020-11-01,NVMe SSD,600
